AudioFile,Item,Gap,Nativeness,Group,Question,S2,S3,S4,S5,S6,S7,S8
ITEM_1_long_native.mp3,1,long,native,A,"Wie bereit ist Person A, Person B dann abzuholen?","B: Hi, ich bin's.",A: Hi.,B: Ich komm grad vom Wettkampf zurück.,"A: Ah, lief es gut?","B: Ja, lief gut.",A: Super.,B: Ich komm um 6 an.
ITEM_1_long_non-native.mp3,1,long,nonnative,B,"Wie bereit ist Person A, Person B dann abzuholen?","B: Hi, ich bin's.",A: Hi.,B: Ich komm grad vom Wettkampf zurück.,"A: Ah, lief es gut?","B: Ja, lief gut.",A: Super.,B: Ich komm um 6 an.
ITEM_1_short_native.mp3,1,short,native,C,"Wie bereit ist Person A, Person B dann abzuholen?","B: Hi, ich bin's.",A: Hi.,B: Ich komm grad vom Wettkampf zurück.,"A: Ah, lief es gut?","B: Ja, lief gut.",A: Super.,B: Ich komm um 6 an.
ITEM_1_short_non-native.mp3,1,short,nonnative,D,"Wie bereit ist Person A, Person B dann abzuholen?","B: Hi, ich bin's.",A: Hi.,B: Ich komm grad vom Wettkampf zurück.,"A: Ah, lief es gut?","B: Ja, lief gut.",A: Super.,B: Ich komm um 6 an.
ITEM_2_long_native.mp3,2,long,native,B,"Wie bereit ist Person A, die Bewerbung morgen für Person B einzuwerfen?","B: Hi, grüß dich.","A: Hi, na?",B: Ich schreib grad meine Bewerbung.,"A: Ah, kommst du voran?","B: Ja, bin schon weit.",A: Schön.,B: Ich bin gegen 8 zurück.
ITEM_2_long_non-native.mp3,2,long,nonnative,A,"Wie bereit ist Person A, die Bewerbung morgen für Person B einzuwerfen?","B: Hi, grüß dich.","A: Hi, na?",B: Ich schreib grad meine Bewerbung.,"A: Ah, kommst du voran?","B: Ja, bin schon weit.",A: Schön.,B: Ich bin gegen 8 zurück.
ITEM_2_short_native.mp3,2,short,native,D,"Wie bereit ist Person A, die Bewerbung morgen für Person B einzuwerfen?","B: Hi, grüß dich.","A: Hi, na?",B: Ich schreib grad meine Bewerbung.,"A: Ah, kommst du voran?","B: Ja, bin schon weit.",A: Schön.,B: Ich bin gegen 8 zurück.
ITEM_2_short_non-native.mp3,2,short,nonnative,C,"Wie bereit ist Person A, die Bewerbung morgen für Person B einzuwerfen?","B: Hi, grüß dich.","A: Hi, na?",B: Ich schreib grad meine Bewerbung.,"A: Ah, kommst du voran?","B: Ja, bin schon weit.",A: Schön.,B: Ich bin gegen 8 zurück.
ITEM_3_long_native.mp3,3,long,native,C,"Wie bereit ist Person A, Person B dann zum Vereinstreffen zu bringen?","B: Hi, wie geht's?","A: Hi, gut.",B: Ich mach grad die Planung für das Vereinstreffen heute Abend.,"A: Ah, wirst du noch fertig?","B: Ja, bin fast fertig.",A: OK.,B: Das fängt um 7 an.
ITEM_3_long_non-native.mp3,3,long,nonnative,D,"Wie bereit ist Person A, Person B dann zum Vereinstreffen zu bringen?","B: Hi, wie geht's?","A: Hi, gut.",B: Ich mach grad die Planung für das Vereinstreffen heute Abend.,"A: Ah, wirst du noch fertig?","B: Ja, bin fast fertig.",A: OK.,B: Das fängt um 7 an.
ITEM_3_short_native.mp3,3,short,native,A,"Wie bereit ist Person A, Person B dann zum Vereinstreffen zu bringen?","B: Hi, wie geht's?","A: Hi, gut.",B: Ich mach grad die Planung für das Vereinstreffen heute Abend.,"A: Ah, wirst du noch fertig?","B: Ja, bin fast fertig.",A: OK.,B: Das fängt um 7 an.
ITEM_3_short_non-native.mp3,3,short,nonnative,B,"Wie bereit ist Person A, Person B dann zum Vereinstreffen zu bringen?","B: Hi, wie geht's?","A: Hi, gut.",B: Ich mach grad die Planung für das Vereinstreffen heute Abend.,"A: Ah, wirst du noch fertig?","B: Ja, bin fast fertig.",A: OK.,B: Das fängt um 7 an.
ITEM_4_long_native.mp3,4,long,native,D,"Wie bereit ist Person A, Person B dann dann was zu Essen mitzubringen?","B: Hi, alles gut?","A: Hi, ja, alles super.",B: Ich bin grad in der Bibliothek.,"A: Ah, hast du heut noch Unterricht?","B: Ja, noch eine Vorlesung.",A: OK.,B: Ich hab um 5 Schluss.
ITEM_4_long_non-native.mp3,4,long,nonnative,C,"Wie bereit ist Person A, Person B dann dann was zu Essen mitzubringen?","B: Hi, alles gut?","A: Hi, ja, alles super.",B: Ich bin grad in der Bibliothek.,"A: Ah, hast du heut noch Unterricht?","B: Ja, noch eine Vorlesung.",A: OK.,B: Ich hab um 5 Schluss.
ITEM_4_short_native.mp3,4,short,native,B,"Wie bereit ist Person A, Person B dann dann was zu Essen mitzubringen?","B: Hi, alles gut?","A: Hi, ja, alles super.",B: Ich bin grad in der Bibliothek.,"A: Ah, hast du heut noch Unterricht?","B: Ja, noch eine Vorlesung.",A: OK.,B: Ich hab um 5 Schluss.
ITEM_4_short_non-native.mp3,4,short,nonnative,A,"Wie bereit ist Person A, Person B dann dann was zu Essen mitzubringen?","B: Hi, alles gut?","A: Hi, ja, alles super.",B: Ich bin grad in der Bibliothek.,"A: Ah, hast du heut noch Unterricht?","B: Ja, noch eine Vorlesung.",A: OK.,B: Ich hab um 5 Schluss.
