subject,trialNr,rating,RT,itemID,gapLength,nativeness,group,,
1d8b471516c6d2a8c8505572e5f16fa6,1,7,4179,1,long,native,A,,
9c6df536ff47899752d373792c26015f,4,5,4593,1,long,native,A,,
c1158568b721343cb03d27b83dd052b6,2,4,1858,1,long,native,A,,
ca5985b738f29cee1f5e67c3414e4281,3,5,3848,2,long,native,B,,
34ef8e54aedd10e28b7599b480613064,2,3,11878,3,long,native,C,,
728e10c699f34aea98de484fd3863613,4,3,2403,3,long,native,C,,
ac56baff5607bf88dee58eb48dc40dfe,3,5,799,4,long,native,D,,
eb9916b319f0d75b4c9c456783b87b35,2,3,1604,4,long,native,D,"4,375",
1d8b471516c6d2a8c8505572e5f16fa6,2,6,2842,3,short,native,A,,
9c6df536ff47899752d373792c26015f,2,5,4236,3,short,native,A,,
c1158568b721343cb03d27b83dd052b6,1,6,5408,3,short,native,A,,
ca5985b738f29cee1f5e67c3414e4281,2,6,7759,4,short,native,B,,"0,75"
34ef8e54aedd10e28b7599b480613064,1,5,12974,1,short,native,C,,
728e10c699f34aea98de484fd3863613,2,3,1889,1,short,native,C,,
ac56baff5607bf88dee58eb48dc40dfe,4,6,1266,2,short,native,D,,
eb9916b319f0d75b4c9c456783b87b35,3,4,1236,2,short,native,D,"5,125",
1d8b471516c6d2a8c8505572e5f16fa6,3,6,6015,2,long,nonnative,A,,
9c6df536ff47899752d373792c26015f,3,6,2721,2,long,nonnative,A,,
c1158568b721343cb03d27b83dd052b6,3,5,6257,2,long,nonnative,A,,
ca5985b738f29cee1f5e67c3414e4281,1,6,9698,1,long,nonnative,B,,
34ef8e54aedd10e28b7599b480613064,4,4,4322,4,long,nonnative,C,,
728e10c699f34aea98de484fd3863613,3,5,2866,4,long,nonnative,C,,
ac56baff5607bf88dee58eb48dc40dfe,1,7,3229,3,long,nonnative,D,,
eb9916b319f0d75b4c9c456783b87b35,1,5,4542,3,long,nonnative,D,"5,5",
1d8b471516c6d2a8c8505572e5f16fa6,4,7,1562,4,short,nonnative,A,,
9c6df536ff47899752d373792c26015f,1,3,8731,4,short,nonnative,A,,
c1158568b721343cb03d27b83dd052b6,4,5,1966,4,short,nonnative,A,,
ca5985b738f29cee1f5e67c3414e4281,4,6,3103,3,short,nonnative,B,,"-0,375"
34ef8e54aedd10e28b7599b480613064,3,4,11656,2,short,nonnative,C,,
728e10c699f34aea98de484fd3863613,1,5,7368,2,short,nonnative,C,,
ac56baff5607bf88dee58eb48dc40dfe,2,7,837,1,short,nonnative,D,,
eb9916b319f0d75b4c9c456783b87b35,4,4,3563,1,short,nonnative,D,"5,125",
